DATA_YEAR,AGENCY_TYPE_NAME,STATE_ABBR,STATE_NAME,COUNTY_NAME,REGION_NAME,POPULATION_GROUP_CODE,POPULATION_GROUP_DESC,HUMAN_TRAFFICKING,OFFENSE_SUBCAT_NAME,ACTUAL_COUNT
2014,City,MN,Minnesota,DAKOTA,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2014,City,MN,Minnesota,DAKOTA,Midwest,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2014,City,MN,Minnesota,HENNEPIN,Midwest,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,9
2014,City,MN,Minnesota,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2014,County,MN,Minnesota,POLK,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,MN,Minnesota,RAMSEY,Midwest,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,17
2014,City,MN,Minnesota,SHERBURNE,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,MN,Minnesota,STEARNS,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,2
2014,City,MN,Minnesota,STEARNS,Midwest,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2014,County,MO,Missouri,BOONE,Midwest,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,1
2014,County,MO,Missouri,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2014,County,MO,Missouri,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",1,Involuntary Servitude,1
2014,City,MO,Missouri,ST LOUIS,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,MO,Missouri,ST LOUIS CITY,Midwest,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,1
2014,City,MT,Montana,LEWIS AND CLARK,West,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,1
2014,City,OK,Oklahoma,"CANADIAN, CLEVELAND, OKLAHOMA",South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,8
2014,City,OK,Oklahoma,"OSAGE, TULSA, WAGONER",South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,2
2014,City,TN,Tennessee,CAMPBELL,South,7,"Cities under 2,500",1,Commercial Sex Acts,1
2014,City,TN,Tennessee,DAVIDSON,South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,3
2014,City,TN,Tennessee,HAMILTON,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,3
2014,County,TN,Tennessee,JOHNSON,South,8C,"Non-MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2014,City,TN,Tennessee,SHELBY,South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,24
2014,City,TN,Tennessee,SHELBY,South,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,1
2014,State Police,TN,Tennessee,NOT SPECIFIED,South,9D,"MSA counties under 10,000",1,Commercial Sex Acts,1
2014,City,TX,Texas,ATASCOSA,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2014,City,TX,Texas,BELL,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,3
2014,County,TX,Texas,BEXAR,South,9A,"MSA counties 100,000 or over",1,Involuntary Servitude,3
2014,City,TX,Texas,CAMERON,South,2,"Cities from 100,000 thru 249,999",1,Involuntary Servitude,1
2014,County,TX,Texas,CHAMBERS,South,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,2
2014,City,TX,Texas,"DALLAS, DENTON",South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,City,TX,Texas,DUVAL,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2014,City,TX,Texas,"ECTOR, MIDLAND",South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,City,TX,Texas,ELLIS,South,5,"Cities from 10,000 thru 24,999",1,Involuntary Servitude,1
2014,City,TX,Texas,EL PASO,South,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,1
2014,City,TX,Texas,FRIO,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2014,County,TX,Texas,HARRIS,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,5
2014,County,TX,Texas,HARRIS,South,9A,"MSA counties 100,000 or over",1,Involuntary Servitude,3
2014,City,TX,Texas,HIDALGO,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,2
2014,City,TX,Texas,HIDALGO,South,5,"Cities from 10,000 thru 24,999",1,Involuntary Servitude,7
2014,County,TX,Texas,JIM HOGG,South,8D,"Non-MSA counties under 10,000",1,Involuntary Servitude,1
2014,County,TX,Texas,JIM WELLS,South,8C,"Non-MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,3
2014,City,TX,Texas,"JOHNSON, TARRANT",South,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2014,County,TX,Texas,LA SALLE,South,8D,"Non-MSA counties under 10,000",1,Involuntary Servitude,1
2014,City,TX,Texas,MIDLAND,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2014,City,TX,Texas,NACOGDOCHES,South,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2014,City,TX,Texas,NUECES,South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,3
2014,City,TX,Texas,NUECES,South,1C,"Cities from 250,000 thru 499,999",1,Involuntary Servitude,2
2014,City,TX,Texas,REFUGIO,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,3
2014,County,TX,Texas,SMITH,South,9B,"MSA counties from 25,000 thru 99,999",1,Involuntary Servitude,1
2014,City,TX,Texas,TARRANT,South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,4
2014,City,TX,Texas,"DENTON, PARKER, TARRANT",South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,2
2014,City,TX,Texas,"HAYS, TRAVIS, WILLIAMSON",South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,10
2014,City,TX,Texas,"HAYS, TRAVIS, WILLIAMSON",South,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,62
2014,County,TX,Texas,WILLACY,South,8D,"Non-MSA counties under 10,000",1,Involuntary Servitude,5
2014,City,TX,Texas,"COLLIN, DALLAS, DENTON",South,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,28
2014,City,TX,Texas,"COLLIN, DALLAS, DENTON",South,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,6
2014,City,TX,Texas,"FORT BEND, HARRIS, MONTGOMERY",South,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,2
2014,City,TX,Texas,"FORT BEND, HARRIS, MONTGOMERY",South,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,6
2014,City,TX,Texas,"BEXAR, MEDINA",South,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,16
2014,City,TX,Texas,"BEXAR, MEDINA",South,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,2
2014,City,WA,Washington,KING,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,2
2014,City,WI,Wisconsin,MILWAUKEE,Midwest,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,6
2014,City,WI,Wisconsin,MILWAUKEE,Midwest,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,1
2014,City,WY,Wyoming,WESTON,West,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2015,City,AR,Arkansas,PULASKI,South,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,AR,Arkansas,WASHINGTON,South,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,3
2015,City,CO,Colorado,"ADAMS, ARAPAHOE, DOUGLAS",West,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,8
2015,County,CO,Colorado,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,1
2015,County,CO,Colorado,ARAPAHOE,West,9B,"MSA counties from 25,000 thru 99,999",1,Involuntary Servitude,4
2015,City,CO,Colorado,ARAPAHOE,West,2,"Cities from 100,000 thru 249,999",1,Involuntary Servitude,1
2015,City,CO,Colorado,JEFFERSON,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,City,CO,Colorado,MESA,West,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,CO,Colorado,BROOMFIELD,West,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2015,City,HI,Hawaii,HONOLULU,West,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,2
2015,City,IL,Illinois,COOK,Midwest,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,18
2015,City,IL,Illinois,COOK,Midwest,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,1
2015,City,MA,Massachusetts,MIDDLESEX,Northeast,2,"Cities from 100,000 thru 249,999",1,Involuntary Servitude,1
2015,City,MA,Massachusetts,SUFFOLK,Northeast,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2015,County,MD,Maryland,FREDERICK,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2015,County,MD,Maryland,HOWARD,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,3
2015,County,MD,Maryland,MONTGOMERY,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,5
2015,State Police,MI,Michigan,INGHAM,Midwest,9D,"MSA counties under 10,000",1,Commercial Sex Acts,3
2015,County,MN,Minnesota,ANOKA,Midwest,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,2
2015,City,MN,Minnesota,ANOKA,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,ANOKA,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,ANOKA,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,ANOKA,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,5
2015,City,MN,Minnesota,BELTRAMI,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,3
2015,County,MN,Minnesota,CARVER,Midwest,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,3
2015,City,MN,Minnesota,CLAY,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,COTTONWOOD,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,CROW WING,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,3
2015,City,MN,Minnesota,"DAKOTA, WASHINGTON",Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,7
2015,City,MN,Minnesota,DAKOTA,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,6
2015,County,MN,Minnesota,FILLMORE,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,FREEBORN,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,GRANT,Midwest,7,"Cities under 2,500",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,HENNEPIN,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,2
2015,City,MN,Minnesota,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,3
2015,City,MN,Minnesota,"HENNEPIN, RAMSEY",Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,HENNEPIN,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,HENNEPIN,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,2
2015,City,MN,Minnesota,HENNEPIN,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,County,MN,Minnesota,NICOLLET,Midwest,9D,"MSA counties under 10,000",1,Commercial Sex Acts,2
2015,City,MN,Minnesota,OLMSTED,Midwest,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,13
2015,City,MN,Minnesota,RAMSEY,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,3
2015,City,MN,Minnesota,RAMSEY,Midwest,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,14
2015,City,MN,Minnesota,ST LOUIS,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,9
2015,County,MN,Minnesota,STEARNS,Midwest,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,"BENTON, SHERBURNE, STEARNS",Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,STEARNS,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,10
2015,City,MN,Minnesota,STEELE,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,WASHINGTON,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,WASHINGTON,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,WASHINGTON,Midwest,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,7
2015,City,MN,Minnesota,WATONWAN,Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,WINONA,Midwest,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,1
2015,City,MN,Minnesota,WRIGHT,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,County,MO,Missouri,ST LOUIS,Midwest,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,6
2015,City,MO,Missouri,ST LOUIS,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,NV,Nevada,CLARK,West,1A,"Cities 1,000,000 or over",1,Commercial Sex Acts,204
2015,City,NV,Nevada,CLARK,West,1A,"Cities 1,000,000 or over",1,Involuntary Servitude,2
2015,City,NV,Nevada,WASHOE,West,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,10
2015,County,OH,Ohio,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,County,OH,Ohio,ALLEN,Midwest,9C,"MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,1
2015,City,OH,Ohio,"ALLEN, VAN WERT",Midwest,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,OH,Ohio,MONTGOMERY,Midwest,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,2
2015,City,OK,Oklahoma,COMANCHE,South,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2015,City,OK,Oklahoma,OKLAHOMA,South,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,OK,Oklahoma,"CANADIAN, CLEVELAND, OKLAHOMA",South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,8
2015,City,OK,Oklahoma,OKLAHOMA,South,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,1
2015,City,OK,Oklahoma,"OSAGE, TULSA, WAGONER",South,1C,"Cities from 250,000 thru 499,999",1,Commercial Sex Acts,28
2015,City,OK,Oklahoma,"OSAGE, TULSA, WAGONER",South,1C,"Cities from 250,000 thru 499,999",1,Involuntary Servitude,1
2015,County,SC,South Carolina,GREENVILLE,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,10
2015,City,SC,South Carolina,HORRY,South,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,3
2015,City,SC,South Carolina,LEXINGTON,South,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,2
2015,City,SC,South Carolina,SPARTANBURG,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2015,City,TN,Tennessee,DAVIDSON,South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,2
2015,County,TN,Tennessee,FAYETTE,South,9B,"MSA counties from 25,000 thru 99,999",1,Commercial Sex Acts,1
2015,County,TN,Tennessee,GRAINGER,South,9C,"MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,1
2015,City,TN,Tennessee,GRAINGER,South,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,TN,Tennessee,HAMILTON,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,City,TN,Tennessee,HAMILTON,South,2,"Cities from 100,000 thru 249,999",1,Involuntary Servitude,1
2015,City,TN,Tennessee,KNOX,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,5
2015,City,TN,Tennessee,MONTGOMERY,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,County,TN,Tennessee,SHELBY,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,1
2015,City,TN,Tennessee,WILLIAMSON,South,3,"Cities from 50,000 thru 99,999",1,Commercial Sex Acts,1
2015,City,TN,Tennessee,SHELBY,South,1B,"Cities from 500,000 thru 999,999",1,Commercial Sex Acts,24
2015,City,TN,Tennessee,SHELBY,South,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,1
2015,City,TX,Texas,AUSTIN,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2015,County,TX,Texas,BEE,South,8C,"Non-MSA counties from 10,000 thru 24,999",1,Involuntary Servitude,1
2015,City,TX,Texas,BELL,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,2
2015,County,TX,Texas,BEXAR,South,9A,"MSA counties 100,000 or over",1,Involuntary Servitude,1
2015,City,TX,Texas,"COLLIN, DALLAS, ROCKWALL",South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,City,TX,Texas,DALLAS,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,City,TX,Texas,"DALLAS, KAUFMAN",South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,2
2015,City,TX,Texas,DAWSON,South,6,"Cities from 2,500 thru 9,999",1,Commercial Sex Acts,1
2015,City,TX,Texas,"DALLAS, DENTON",South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,1
2015,City,TX,Texas,"DENTON, TARRANT",South,5,"Cities from 10,000 thru 24,999",1,Commercial Sex Acts,2
2015,City,TX,Texas,"DUVAL, JIM WELLS",South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2015,City,TX,Texas,EL PASO,South,1B,"Cities from 500,000 thru 999,999",1,Involuntary Servitude,2
2015,County,TX,Texas,FLOYD,South,8D,"Non-MSA counties under 10,000",1,Commercial Sex Acts,1
2015,City,TX,Texas,FRIO,South,6,"Cities from 2,500 thru 9,999",1,Involuntary Servitude,1
2015,City,TX,Texas,GRAYSON,South,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,2
2015,County,TX,Texas,HARRIS,South,9A,"MSA counties 100,000 or over",1,Commercial Sex Acts,9
2015,County,TX,Texas,HARRIS,South,9A,"MSA counties 100,000 or over",1,Involuntary Servitude,9
2015,City,TX,Texas,"CHAMBERS, HARRIS",South,3,"Cities from 50,000 thru 99,999",1,Involuntary Servitude,1
2015,City,TX,Texas,HARRIS,South,4,"Cities from 25,000 thru 49,999",1,Commercial Sex Acts,2
2015,County,TX,Texas,JIM WELLS,South,8C,"Non-MSA counties from 10,000 thru 24,999",1,Commercial Sex Acts,5
2015,County,TX,Texas,KIMBLE,South,8D,"Non-MSA counties under 10,000",1,Involuntary Servitude,1
2015,City,TX,Texas,MCLENNAN,South,2,"Cities from 100,000 thru 249,999",1,Commercial Sex Acts,3
2015,City,TX,Texas,MCLENNAN,South,2,"Cities from 100,000 thru 249,999",1,Involuntary Servitude,2
2015,City,TX,Texas,MAVERICK,South,4,"Cities from 25,000 thru 49,999",1,Involuntary Servitude,1
